
*************************************************************
 Amazon kindlegen(Linux) V2.9 build 1028-0897292 
 A command line e-book compiler 
 Copyright Amazon.com and its Affiliates 2014 
*************************************************************

Info:I9014:option: -verbose: Verbose output
Info:I9007:option: -c2: Kindle Huffdic compression
Info(prcgen):I1047: Added metadata dc:Title        "Ruby on Rails Guides  v2"
Info(prcgen):I1047: Added metadata dc:Date         "2020-05-16"
Info(prcgen):I1047: Added metadata dc:Creator      "Ruby on Rails"
Info(prcgen):I1047: Added metadata dc:Publisher    "Ruby on Rails"
Info(prcgen):I1047: Added metadata dc:Subject      "Reference"
Info(prcgen):I1002: Parsing files  0000422
Info(prcgen):I1003: Parsing file     URL: contents.html
Info(prcgen):I1003: Parsing file     URL: section.html
Info(prcgen):I1003: Parsing file     URL: 000.html
Info(prcgen):I1003: Parsing file     URL: 001.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/006/001.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/009/003.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/003/007.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/003/004.html
Info(prcgen):I1003: Parsing file     URL: 002.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/007/015.html
Info(prcgen):I1003: Parsing file     URL: 003.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/001/004.html
Info(prcgen):I1003: Parsing file     URL: 004.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/009/006.html
Info(prcgen):I1003: Parsing file     URL: 005.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/013/002.html
Info(prcgen):I1003: Parsing file     URL: 006.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/039/008.html
Info(prcgen):I1003: Parsing file     URL: 007.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/042/006.html
Info(prcgen):I1003: Parsing file     URL: 008.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/042/008.html
Info(prcgen):I1003: Parsing file     URL: 009.html
Info(prcgen):I1003: Parsing file     URL: /home/rails/v4.2.11.3/guides/output/kindle/sections/043/002.html
Info(prcgen):I1003: Parsing file     URL: 010.html
Info(prcgen):I1003: Parsing file     URL: 011.html
Info(prcgen):I1003: Parsing file     URL: 012.html
Info(prcgen):I1003: Parsing file     URL: 013.html
Info(prcgen):I1003: Parsing file     URL: 015.html
Info(prcgen):I1003: Parsing file     URL: 014.html
Info(prcgen):I1003: Parsing file     URL: 016.html
Info(prcgen):I1003: Parsing file     URL: 018.html
Info(prcgen):I1003: Parsing file     URL: 017.html
Info(prcgen):I1003: Parsing file     URL: 019.html
Info(prcgen):I1003: Parsing file     URL: 020.html
Info(prcgen):I1015: Building PRC file
Info(prcgen):I1006: Resolving hyperlinks
Info(prcgen):I1010: Writing hyperlinks
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/configuring.html
